KoordID,x,y,whinchat,ptarmigan,dipper,elev.birds,prec.birds,temp.birds,est.slope,forest.edge.sum,forest.sum,grassland.sum,water.dist,buildings.sum
497118,497000,118000,0,0,0,421.600006103516,269.702378013043,20.3281736273333,0.885478215108284,3.4978125,8.49265625,0.9625,1000,268
497142,497000,142000,0,0,0,1451.59997558594,484.062202097317,13.3359449849488,3.67091013954203,18.93515625,45.715,53.785,11401.7542509914,2
503142,503000,142000,0,0,0,619.299987792969,256.000436128578,18.7893518345546,5.1697252433241,30.74484375,85.90328125,2.02578125,7071.06781186548,56
503150,503000,150000,0,0,0,1264.5,332.144023545782,14.7195729200027,1.39027325046743,26.4996875,57.2084375,41.8290625,6082.76253029822,3
503158,503000,158000,1,0,0,1044,295.286247414881,15.8161873492742,1.39389673115562,15.09,38.6559375,48.745625,0,11
509150,509000,150000,0,0,0,921.799987792969,276.532961273576,,3.29963041682044,10.98234375,26.5234375,17.66078125,7810.24967590665,35
509158,509000,158000,0,0,0,1359.80004882812,443.628476580734,,3.19300777604474,24.52140625,35.32140625,64.2334375,3605.55127546399,5
509166,509000,166000,0,0,0,1109,277.284553920136,,4.57211289014917,22.7440625,38.9715625,56.33203125,1414.2135623731,13
515158,515000,158000,0,0,0,1122.19995117188,275.065828161579,,16.9739096815957,3.43140625,95.76875,3.17640625,7810.24967590665,11
515166,515000,166000,0,0,0,1295.59997558594,420.680223191457,,8.51219045279732,17.75,71.81828125,26.21625,1414.2135623731,18
521150,521000,150000,0,0,0,513.200012207031,263.964083802606,19.5501017879508,1.6272394507073,9.179375,10.16328125,3.92703125,4000,51
521166,521000,166000,0,0,0,791.299987792969,241.74659716644,17.5519084808494,6.49813515694371,7.59015625,15.19109375,17.71796875,7071.06781186548,28
521174,521000,174000,0,0,1,717.900024414062,265.53935554709,17.5456909172907,7.25329098078048,27.579375,52.52421875,29.759375,0,35
527158,527000,158000,0,0,0,478.399993896484,239.066233631883,19.5281708763342,1.7942522905081,2.7440625,9.92671875,9.670625,7071.06781186548,47
527174,527000,174000,0,0,0,627.5,220.142106350992,18.6224868064425,2.73777143017938,21.583125,40.08859375,12.48703125,1000,36
527182,527000,182000,1,0,0,1232.80004882812,333.063911901587,14.7578277162114,11.4512226044155,23.55953125,49.88,48.1603125,5000,4
527190,527000,190000,0,0,0,1040.30004882812,324.505329715293,15.8571627181028,1.12874278835099,15.74453125,20.95140625,71.10390625,1414.2135623731,51
527198,527000,198000,0,0,0,1120.09997558594,406.103416445985,,1.26000067167278,23.18671875,61.27421875,37.69109375,5385.1648071345,6
